"Innehavare av positionen 
(Position holder)","Namn på emittent 
(Name of the issuer)",ISIN,Position i procent (Position in per cent),"Datum för positionen 
(Position date)",Kommentar (Comment)
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,0.70,2013-06-05,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.58,2013-06-05,
"D. E. Shaw & Co., L.P.",Elekta AB (publ) ,SE0000163628,1.02,2013-06-05,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.76,2013-06-05,
"BlackRock Institutional Trust Company, National Association",SAAB Aktiebolag ,SE0000112385,0.51,2013-06-05,
AKO Capital LLP for AKO Master Fund Limited,Meda Aktiebolag,SE0000221723,0.63,2013-06-05,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.60,2013-06-04,
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,1.81,2013-06-04,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,1.00,2013-06-04,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.98,2013-06-04,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.58,2013-06-03,
Lombard Odier Asset Management (Europe) Limited,PA Resources Aktiebolag,SE0000818569,"<0,5",2013-06-03,
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,2.27,2013-06-03,
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,0.64,2013-06-03,
Luxor Capital Group LP,BillerudKorsnäs Aktiebolag (publ) ,SE0000862997,0.81,2013-06-03,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,1.24,2013-06-03,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.67,2013-06-03,
Egerton Capital Limited as general partner of Egerton Capital Limited Partnership,Husqvarna Aktiebolag ,SE0001662230,0.55,2013-06-03,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.77,2013-06-03,
Magnetar Financial LLC,CDON Group AB,SE0003652163,0.75,2013-05-31,
Parvus Asset Management (UK) LLP,JM AB ,SE0000806994,0.78,2013-05-30,
Parvus Asset Management (UK) LLP,JM AB ,SE0000806994,0.82,2013-05-30,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.75,2013-05-30,Anmälan återkallad 2013-07-18
"D. E. Shaw & Co., L.P.",JM AB ,SE0000806994,1.21,2013-05-30,
"AQR Capital Management, LLC",Modern Times Group MTG AB,SE0000412371,"<0,5",2013-05-30,Anmälan återkallad 2013-07-18
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.87,2013-05-29,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.90,2013-05-29,Korrigering
Marshall Wace LLP,Securitas AB ,SE0000163594,0.61,2013-05-29,
Kynikos Associates LP,JM AB ,SE0000806994,2.92,2013-05-29,
"Sheffield Asset Management, L.L.C.",Eniro AB,SE0000718017,0.54,2013-05-29,
Kynikos Associates LP,JM AB ,SE0000806994,3.08,2013-05-29,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.84,2013-05-29,
Ennismore Fund Management Limited,Net Insight AB,SE0000366098,0.85,2013-05-29,
"D. E. Shaw & Co., L.P.",Elekta AB (publ) ,SE0000163628,1.19,2013-05-29,
"BlackRock Institutional Trust Company, National Association",SAAB Aktiebolag ,SE0000112385,"<0,5",2013-05-29,
Lansdowne Partners Ltd,Aktiebolaget SKF ,SE0000108227,0.80,2013-05-28,
"BlackRock Institutional Trust Company, National Association",SAAB Aktiebolag ,SE0000112385,0.50,2013-05-28,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.73,2013-05-28,
SSE Opportunities ,Arcam AB,"SE0001104209
","<0,5",2013-05-24,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.94,2013-05-24,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.09,2013-05-24,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,"<0,5",2013-05-24,
"Sheffield Asset Management, L.L.C.",Eniro AB,SE0000718017,0.68,2013-05-23,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.89,2013-05-23,
SSE Opportunities ,Arcam AB,"SE0001104209
",1.76,2013-05-22,
Lansdowne Partners Ltd,Sandvik AB,SE0000667891,0.86,2013-05-22,
Lansdowne Partners Ltd,Aktiebolaget SKF ,SE0000108227,0.75,2013-05-22,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,0.55,2013-05-22,
"BlackRock Institutional Trust Company, National Association",Modern Times Group MTG AB,SE0000412371,"<0,5",2013-05-22,
"Sheffield Asset Management, L.L.C.",Eniro AB,SE0000718017,0.76,2013-05-21,
Lansdowne Partners Ltd,Sandvik AB,SE0000667891,0.78,2013-05-21,
Lansdowne Partners Ltd,Aktiebolaget SKF ,SE0000108227,0.58,2013-05-21,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,1.08,2013-05-21,
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,"<0,5",2013-05-21,
Marshall Wace LLP,SSAB AB,SE0000171100,0.69,2013-05-20,
GMT Capital Corp,Ratos AB ,SE0000111940,1.10,2013-05-20,
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,0.51,2013-05-20,
SSE Opportunities ,Arcam AB,"SE0001104209
",1.14,2013-05-17,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,1.10,2013-05-17,
"BlackRock Institutional Trust Company, National Association",Skanska AB,SE0000113250,0.60,2013-05-17,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.50,2013-05-16,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.91,2013-05-16,
Lansdowne Partners Ltd,H & M Hennes & Mauritz AB ,SE0000106270,"<0,5",2013-05-16,
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,"<0,5",2013-05-16,
Luxor Capital Group LP,BillerudKorsnäs Aktiebolag (publ) ,SE0000862997,0.72,2013-05-15,
Highbridge Capital Management LLC,Aktiebolaget Industrivärden,SE0000107203,"<0,5",2013-05-15,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.17,2013-05-15,
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,0.55,2013-05-15,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,0.69,2013-05-15,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,0.58,2013-05-15,
SSE Opportunities ,Arcam AB,"SE0001104209
",0.96,2013-05-14,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,1.05,2013-05-14,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.87,2013-05-14,
Lone Pine Capital LLC,Swedish Match AB,SE0000310336,"<0,5",2013-05-14,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.29,2013-05-14,
"BlackRock Institutional Trust Company, National Association",Modern Times Group MTG AB,SE0000412371,0.57,2013-05-13,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,0.61,2013-05-13,
BlackRock Advisors (UK) Limited,Haldex Aktiebolag ,SE0000105199,"<0,5",2013-05-13,
Marshall Wace LLP,SSAB AB,SE0000171100,0.76,2013-05-10,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.94,2013-05-10,
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,0.50,2013-05-10,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.75,2013-05-10,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,1.16,2013-05-10,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.47,2013-05-10,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.71,2013-05-10,
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,0.63,2013-05-10,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,0.77,2013-05-10,
Sothic Capital Management LLP,Eniro AB,SE0000718017,1.88,2013-05-08,
Highbridge Capital Management LLC,Aktiebolaget Industrivärden,SE0000107203,0.53,2013-05-08,
"BlackRock Institutional Trust Company, National Association",Getinge AB ,SE0000202624,"<0,5",2013-05-08,
"BlackRock Institutional Trust Company, National Association",Meda Aktiebolag,SE0000221723,"<0,5",2013-05-08,
"AQR Capital Management, LLC",Modern Times Group MTG AB,SE0000412371,0.54,2013-05-08,
Sothic Capital Management LLP,Eniro AB,SE0000718017,2.08,2013-05-07,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,0.58,2013-05-07,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.59,2013-05-07,
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,0.77,2013-05-07,
"BlackRock Institutional Trust Company, National Association",Getinge AB ,SE0000202624,0.55,2013-05-07,
"BlackRock Institutional Trust Company, National Association",Meda Aktiebolag,SE0000221723,0.52,2013-05-07,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,0.52,2013-05-07,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.94,2013-05-07,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,"<0,5",2013-05-06,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,1.04,2013-05-06,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.99,2013-05-03,
GMT Capital Corp,Ratos AB ,SE0000111940,1.00,2013-05-03,
"BlackRock Institutional Trust Company, National Association",Skanska AB,SE0000113250,0.50,2013-05-03,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,1.39,2013-05-03,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.05,2013-05-03,
Marshall Wace LLP,SSAB AB,SE0000171100,0.63,2013-05-02,
Pelham Long Short Master Fund Ltd,Axfood Aktiebolag ,SE0000635401,1.12,2013-05-02,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,1.02,2013-05-02,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,1.28,2013-05-02,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.17,2013-05-02,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.68,2013-04-30,
BlackRock Investment Management (UK) Limited,Oriflame Holding AG,SE0001174889,"<0,5",2013-04-30,
"BlackRock Institutional Trust Company, National Association",Getinge AB ,SE0000202624,0.64,2013-04-30,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.28,2013-04-30,
Marshall Wace LLP,Skanska AB,SE0000113250,"<0,5",2013-04-29,
Pelham Long Short Master Fund Ltd,Axfood Aktiebolag ,SE0000635401,1.02,2013-04-29,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.90,2013-04-29,
Ennismore Fund Management Limited,Net Insight AB,SE0000366098,0.95,2013-04-29,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.69,2013-04-29,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,0.80,2013-04-29,
TT International,SSAB AB,SE0000171100,"<0,5",2013-04-26,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.83,2013-04-26,
"BlackRock Institutional Trust Company, National Association",Modern Times Group MTG AB,SE0000412371,0.61,2013-04-26,Korrigering
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,1.14,2013-04-26,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.85,2013-04-25,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.88,2013-04-25,
Kynikos Associates LP,SSAB AB,SE0000171100,1.80,2013-04-25,
"D. E. Shaw & Co., L.P.",JM AB ,SE0000806994,1.11,2013-04-25,
BlackRock Investment Management (UK) Limited,Oriflame Holding AG,SE0001174889,0.54,2013-04-25,
TT International,SSAB AB,SE0000171100,0.52,2013-04-24,
Lone Pine Capital LLC,Swedish Match AB,SE0000310336,0.66,2013-04-24,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,0.67,2013-04-24,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.88,2013-04-24,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.11,2013-04-24,
Marshall Wace LLP,Skanska AB,SE0000113250,0.57,2013-04-23,
TT International,SSAB AB,SE0000171100,0.67,2013-04-23,
Luxor Capital Group LP,BillerudKorsnäs Aktiebolag (publ) ,SE0000862997,0.54,2013-04-23,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.82,2013-04-23,
Lone Pine Capital LLC,Swedish Match AB,SE0000310336,0.53,2013-04-23,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.79,2013-04-23,
"BlackRock Institutional Trust Company, National Association",Swedish Match AB,SE0000310336,"<0,5",2013-04-23,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.52,2013-04-22,
Marshall Wace LLP,SSAB AB,SE0000171100,0.50,2013-04-22,
Kynikos Associates LP,SSAB AB,SE0000171100,1.73,2013-04-22,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.88,2013-04-22,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,"<0,5",2013-04-19,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.73,2013-04-19,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.63,2013-04-19,
"BlackRock Institutional Trust Company, National Association",Getinge AB ,SE0000202624,0.58,2013-04-19,
"BlackRock Institutional Trust Company, National Association",Meda Aktiebolag,SE0000221723,0.66,2013-04-19,
"BlackRock Institutional Trust Company, National Association",Modern Times Group MTG AB,SE0000412371,0.51,2013-04-19,
Kynikos Associates LP,JM AB ,SE0000806994,2.92,2013-04-18,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.99,2013-04-18,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.36,2013-04-18,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.59,2013-04-17,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.59,2013-04-17,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.66,2013-04-17,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.52,2013-04-17,
Kynikos Associates LP,SSAB AB,SE0000171100,1.87,2013-04-17,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.97,2013-04-17,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.45,2013-04-17,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.90,2013-04-16,
TT International,SSAB AB,SE0000171100,0.70,2013-04-16,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,0.78,2013-04-16,
SSE Opportunities ,Arcam AB,SE0000565228,0.70,2013-04-15,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,0.89,2013-04-15,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,0.79,2013-04-15,
Pelham Long Short Master Fund Ltd,Axfood Aktiebolag ,SE0000635401,0.87,2013-04-12,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.33,2013-04-12,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,1.03,2013-04-12,
AKO Capital LLP for AKO Master Fund Limited,SAS AB ,SE0003366871,1.71,2013-04-12,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.52,2013-04-11,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,0.99,2013-04-11,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.54,2013-04-10,
GMT Capital Corp,Ratos AB ,SE0000111940,0.96,2013-04-10,
Egerton Capital Limited as general partner of Egerton Capital Limited Partnership,Axis Communications Aktiebolag,SE0000672354,0.60,2013-04-10,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,0.80,2013-04-10,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.91,2013-04-10,
AKO Capital LLP for AKO Master Fund Limited,SAS AB ,SE0003366871,1.62,2013-04-10,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.61,2013-04-09,
"BlackRock Institutional Trust Company, National Association",Meda Aktiebolag,SE0000221723,0.78,2013-04-09,
Pictet Asset Management SA,Clas Ohlson Aktiebolag ,SE0000584948,0.60,2013-04-08,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,1.05,2013-04-08,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.67,2013-04-05,
Pan Capital AB,Avanza Bank Holding AB ,SE0000170110,"<0,5",2013-04-05,
Pan Capital AB,Concentric AB,SE0003950864,"<0,5",2013-04-05,
Pan Capital AB,Haldex Aktiebolag ,SE0000105199,"<0,5",2013-04-05,
Pan Capital AB,Lindab AB ,SE0001852419,"<0,5",2013-04-05,
"D. E. Shaw & Co., L.P.",Elekta AB (publ) ,SE0000163628,1.20,2013-04-05,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.89,2013-04-04,
Canada Pension Plan Investment Board,Skanska AB,SE0000113250,0.51,2013-04-04,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.61,2013-04-04,
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,0.88,2013-04-04,
TT International,SSAB AB,SE0000171100,0.62,2013-04-03,
TT International,SSAB AB,SE0000171100,0.62,2013-04-02,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.70,2013-04-02,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,1.19,2013-04-02,
"BlackRock Institutional Trust Company, National Association",Aktiebolaget Electrolux,SE0000103814,"<0,5",2013-04-02,Anmälan återkallad 2013-04-05
"BlackRock Institutional Trust Company, National Association",Elekta AB (publ) ,SE0000163628,0.97,2013-04-02,
"BlackRock Institutional Trust Company, National Association",Getinge AB ,SE0000202624,0.65,2013-04-02,
"BlackRock Institutional Trust Company, National Association",Meda Aktiebolag,SE0000221723,0.89,2013-04-02,
"BlackRock Institutional Trust Company, National Association",Modern Times Group MTG AB,SE0000412371,"<0,5",2013-04-02,
TT International,Swedish Match AB,SE0000310336,"<0,5",2013-03-28,
Highbridge Capital Management LLC,CDON Group AB,SE0003652163,"<0,5",2013-03-27,
Pelham Long Short Master Fund Ltd,Axfood Aktiebolag ,SE0000635401,0.70,2013-03-26,
Kynikos Associates LP,JM AB ,SE0000806994,2.87,2013-03-26,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.62,2013-03-26,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.21,2013-03-26,
"BlackRock Institutional Trust Company, National Association",Swedish Match AB,SE0000310336,0.50,2013-03-26,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.90,2013-03-25,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.77,2013-03-25,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.70,2013-03-25,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.80,2013-03-25,
Pelham Long Short Master Fund Ltd,Axfood Aktiebolag ,SE0000635401,0.54,2013-03-22,
Eton Park International LLP,Alfa Laval AB ,SE0000695876,1.26,2013-03-22,
BlackRock Investment Management (UK) Limited,Oriflame Holding AG,SE0001174889,0.62,2013-03-22,
Mangold Fondkommission AB,Cortus Energy AB ,SE0001296542,"<0,5",2013-03-22,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.55,2013-03-22,
BlackRock Investment Management (UK) Limited,Oriflame Holding AG,SE0001174889,0.59,2013-03-21,
Kynikos Associates LP,JM AB ,SE0000806994,2.96,2013-03-21,
"D. E. Shaw & Co., L.P.",Elekta AB (publ) ,SE0000163628,1.10,2013-03-21,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.18,2013-03-21,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.71,2013-03-21,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.80,2013-03-20,
Marshall Wace LLP,Skanska AB,SE0000113250,0.61,2013-03-20,
Mangold Fondkommission AB,Cortus Energy AB ,SE0001296542,0.77,2013-03-20,
Kynikos Associates LP,JM AB ,SE0000806994,3.14,2013-03-20,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.51,2013-03-20,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.03,2013-03-20,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.90,2013-03-20,
"BlackRock Institutional Trust Company, National Association",Haldex Aktiebolag ,SE0000105199,0.70,2013-03-20,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.55,2013-03-20,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.82,2013-03-19,
Kynikos Associates LP,JM AB ,SE0000806994,3.26,2013-03-19,
"BlackRock Institutional Trust Company, National Association",Meda Aktiebolag,SE0000221723,0.99,2013-03-19,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.62,2013-03-18,
Marshall Wace LLP,Skanska AB,SE0000113250,0.50,2013-03-15,
"D. E. Shaw & Co., L.P.",Elekta AB (publ) ,SE0000163628,1.00,2013-03-15,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,2.86,2013-03-15,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.01,2013-03-15,
Pictet Asset Management SA,Clas Ohlson Aktiebolag ,SE0000584948,0.52,2013-03-14,
Highbridge Capital Management LLC,CDON Group AB,SE0003652163,0.59,2013-03-14,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,1.09,2013-03-14,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.43,2013-03-14,
Pareto Öhman AB,Vostok Nafta Investment Ltd,SE0002056721,0.81,2013-03-13,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.70,2013-03-12,
Marshall Wace LLP,SSAB AB,SE0000171100,"<0,5",2013-03-12,
Mangold Fondkommission AB,Cortus Energy AB ,SE0001296542,1.31,2013-03-12,
Highbridge Capital Management LLC,CDON Group AB,SE0003652163,0.60,2013-03-12,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.60,2013-03-12,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,1.33,2013-03-12,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.69,2013-03-11,
"BlackRock Institutional Trust Company, National Association",Modern Times Group MTG AB,SE0000412371,0.50,2013-03-11,
