Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.65%,2023-10-04
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.58%,2023-10-03
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.60%,2023-10-03
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.57%,2023-10-02
GLG Partners LP,Kerry Group PLC,IE0004906560,0.44%,2023-09-28
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.55%,2023-09-25
Millennium International Management LP,CRH PLC,IE0001827041,0.00%,2023-09-22
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.19%,2023-09-22
Millennium International Management LP,CRH PLC,IE0001827041,1.51%,2023-09-21
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.44%,2023-09-21
Pentwater Capital Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.63%,2023-09-21
Millennium International Management LP,CRH PLC,IE0001827041,1.25%,2023-09-20
Pentwater Capital Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.55%,2023-09-20
Millennium International Management LP,CRH PLC,IE0001827041,0.92%,2023-09-19
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.53%,2023-09-19
Millennium International Management LP,CRH PLC,IE0001827041,0.52%,2023-09-18
Millennium International Management LP,Kingspan Group PLC,IE0004927939,0.39%,2023-09-18
Millennium International Management LP,CRH PLC,IE0001827041,0.63%,2023-09-15
Millennium International Management LP,CRH PLC,IE0001827041,1.01%,2023-09-14
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.25%,2023-09-13
Millennium International Management LP,CRH PLC,IE0001827041,0.65%,2023-09-12
Millennium International Management LP,CRH PLC,IE0001827041,0.52%,2023-09-11
Millennium International Management LP,Kingspan Group PLC,IE0004927939,0.50%,2023-09-07
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.45%,2023-09-07
GLG Partners LP,Kerry Group PLC,IE0004906560,0.51%,2023-08-31
GLG Partners LP,Kerry Group PLC,IE0004906560,0.44%,2023-08-18
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.60%,2023-08-14
GLG Partners LP,Kerry Group PLC,IE0004906560,0.50%,2023-08-10
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.51%,2023-08-04
Greenvale Capital LLP,KERRY GROUP PLC-A,IE0004906560,0.46%,2023-08-01
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.26%,2023-07-31
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.17%,2023-07-26
